"","team_api_id","team_long_name","buildup","chance_creation","defence","goals"
"1",9987,"KRC Genk",148,182,205,348
"2",9993,"Beerschot AC",110,185,210,174
"3",10000,"SV Zulte-Waregem",147,153,200,306
"4",9994,"Sporting Lokeren",159,154,200,279
"5",9984,"KSV Cercle Brugge",145,200,195,213
"6",8635,"RSC Anderlecht",149,182,190,427
"7",9991,"KAA Gent",142,184,166,390
"8",9998,"RAEC Mons",160,168,138,129
"9",9985,"Standard de Liège",161,182,205,341
"10",8203,"KV Mechelen",134,150,190,285
"11",8342,"Club Brugge KV",139,170,200,421
"12",9999,"KSV Roeselare",125,125,205,62
"13",8571,"KV Kortrijk",129,159,185,267
"14",9996,"Royal Excel Mouscron",150,150,140,42
"15",10001,"KVC Westerlo",148,167,210,217
"16",9986,"Sporting Charleroi",160,148,210,201
"17",9997,"Sint-Truidense VV",107,154,150,115
"18",9989,"Lierse SK",171,169,159,113
"19",6351,"KAS Eupen",105,160,155,28
"20",1773,"Oud-Heverlee Leuven",153,157,137,126
"21",8475,"Waasland-Beveren",132,140,114,105
"22",8573,"KV Oostende",155,140,133,102
"23",274581,"Royal Excel Mouscron",150,150,140,71
"24",10260,"Manchester United",134,200,163,582
"25",10261,"Newcastle United",152,195,161,324
"26",9825,"Arsenal",140,150,170,573
"27",8659,"West Bromwich Albion",145,195,210,305
"28",8472,"Sunderland",154,195,165,333
"29",8650,"Liverpool",171,180,172,531
"30",8654,"West Ham United",184,171,140,326
"31",8528,"Wigan Athletic",144,190,165,200
"32",10252,"Aston Villa",170,185,145,335
"33",8456,"Manchester City",130,210,180,606
"34",8668,"Everton",137,180,180,439
"35",8655,"Blackburn Rovers",185,185,160,175
"36",8549,"Middlesbrough",144,190,147,28
"37",8586,"Tottenham Hotspur",133,210,181,481
"38",8559,"Bolton Wanderers",167,185,154,181
"39",10194,"Stoke City",150,195,153,322
"40",8667,"Hull City",151,195,210,144
"41",9879,"Fulham",142,190,138,265
"42",8455,"Chelsea",157,200,168,583
"43",8462,"Portsmouth",148,195,150,72
"44",8658,"Birmingham City",174,210,210,75
"45",8602,"Wolverhampton Wanderers",140,210,210,118
"46",8191,"Burnley",154,210,205,70
"47",8483,"Blackpool",183,205,210,55
"48",10003,"Swansea City",135,210,210,233
"49",10172,"Queens Park Rangers",141,210,210,115
"50",9850,"Norwich City",140,195,200,160
"51",8466,"Southampton",129,205,210,216
"52",9798,"Reading",144,210,200,43
"53",9826,"Crystal Palace",173,205,185,119
"54",8344,"Cardiff City",168,210,210,32
"55",8197,"Leicester City",164,185,210,114
"56",8678,"Bournemouth",140,200,210,45
"57",9817,"Watford",160,205,205,40
"58",8583,"AJ Auxerre",168,164,145,168
"59",9830,"FC Nantes",189,160,152,135
"60",9827,"Girondins de Bordeaux",139,190,195,404
"61",7819,"SM Caen",157,165,205,220
"62",9746,"Le Havre AC",154,180,168,30
"63",9831,"OGC Nice",175,165,210,342
"64",8682,"Le Mans FC",115,195,200,79
"65",8689,"FC Lorient",158,180,200,378
"66",9748,"Olympique Lyonnais",161,185,200,497
"67",9941,"Toulouse FC",158,165,140,339
"68",9829,"AS Monaco",168,165,205,287
"69",9847,"Paris Saint-Germain",174,191,210,568
"70",8481,"AS Nancy-Lorraine",146,172,210,203
"71",8639,"LOSC Lille",152,184,180,450
"72",9851,"Stade Rennais FC",167,195,210,367
"73",8592,"Olympique de Marseille",169,210,200,462
"74",9874,"FC Sochaux-Montbéliard",164,184,165,246
"75",9855,"Grenoble Foot 38",140,195,195,55
"76",9873,"Valenciennes FC",160,188,155,256
"77",9853,"AS Saint-Étienne",165,175,148,371
"78",8588,"RC Lens",165,180,200,107
"79",10249,"Montpellier Hérault SC",162,160,210,344
"80",4170,"US Boulogne Cote D'Opale",86,165,200,31
"81",108893,"AC Arles-Avignon",156,141,158,21
"82",8521,"Stade Brestois 29",161,168,210,99
"83",8576,"AC Ajaccio",168,180,140,116
"84",4087,"Évian Thonon Gaillard FC",156,180,165,180
"85",9836,"Dijon FCO",154,165,149,38
"86",9837,"Stade de Reims",154,165,140,168
"87",7794,"SC Bastia",174,156,210,165
"88",10242,"ES Troyes AC",148,150,140,71
"89",9747,"En Avant de Guingamp",169,170,145,122
"90",8550,"FC Metz",152,175,150,31
"91",8121,"Angers SCO",159,180,140,40
"92",6391,"GFC Ajaccio",153,179,146,37
"93",9823,"FC Bayern Munich",105,205,184,653
"94",9790,"Hamburger SV",164,200,175,344
"95",8178,"Bayer 04 Leverkusen",157,210,200,483
"96",9789,"Borussia Dortmund",170,194,178,551
"97",10189,"FC Schalke 04",143,195,185,426
"98",9904,"Hannover 96",144,175,210,359
"99",8721,"VfL Wolfsburg",170,210,171,463
"100",8722,"1. FC Köln",171,165,170,226
"101",9810,"Eintracht Frankfurt",153,165,151,296
"102",8177,"Hertha BSC Berlin",175,172,155,238
"103",9912,"DSC Arminia Bielefeld",166,165,138,29
"104",8697,"SV Werder Bremen",174,216,205,423
"105",8398,"FC Energie Cottbus",126,175,206,30
"106",8226,"TSG 1899 Hoffenheim",180,191,200,400
"107",9788,"Borussia Mönchengladbach",121,185,160,403
"108",10269,"VfB Stuttgart",168,200,175,415
"109",8295,"Karlsruher SC",164,205,170,30
"110",9911,"VfL Bochum",164,172,172,72
"111",8358,"SC Freiburg",151,160,158,245
"112",8165,"1. FC Nürnberg",153,180,162,193
"113",9905,"1. FSV Mainz 05",178,185,170,320
"114",8350,"1. FC Kaiserslautern",167,185,210,72
"115",8152,"FC St. Pauli",161,190,185,35
"116",8406,"FC Augsburg",169,188,161,201
"117",8194,"Fortuna Düsseldorf",198,190,169,39
"118",8357,"SpVgg Greuther Fürth",167,170,170,26
"119",9776,"Eintracht Braunschweig",183,195,157,29
"120",8460,"SC Paderborn 07",175,168,145,31
"121",8234,"FC Ingolstadt 04",160,151,140,33
"122",8262,"SV Darmstadt 98",179,174,129,38
"123",8524,"Atalanta",146,170,165,283
"124",8551,"Siena",144,183,160,149
"125",8529,"Cagliari",167,196,187,309
"126",8543,"Lazio",188,220,190,417
"127",8530,"Catania",175,178,147,251
"128",10233,"Genoa",184,182,154,392
"129",8533,"Chievo Verona",187,170,165,285
"130",8690,"Reggio Calabria",163,186,140,30
"131",8535,"Fiorentina",121,172,184,440
"132",9885,"Juventus",115,195,169,543
"133",8564,"Milan",170,177,164,496
"134",9857,"Bologna",164,175,135,263
"135",8686,"Roma",153,208,155,530
"136",9875,"Napoli",180,215,165,514
"137",9882,"Sampdoria",130,180,175,318
"138",8636,"Inter",182,203,165,496
"139",9804,"Torino",209,189,145,241
"140",9888,"Lecce",100,175,165,121
"141",8600,"Udinese",205,199,160,415
"142",8540,"Palermo",168,165,152,351
"143",9976,"Bari",157,193,161,76
"144",8537,"Livorno",183,172,163,66
"145",10167,"Parma",152,176,166,272
"146",9880,"Cesena",143,170,145,98
"147",9858,"Brescia",141,180,155,34
"148",6269,"Novara",179,172,151,34
"149",9878,"Pescara",152,180,145,27
"150",9876,"Hellas Verona",157,173,169,145
"151",7943,"Sassuolo",188,186,138,141
"152",8534,"Empoli",145,186,164,86
"153",9891,"Frosinone",157,156,193,35
"154",208931,"Carpi",190,160,141,37
"155",8277,"Vitesse",145,173,180,423
"156",8674,"FC Groningen",142,177,149,390
"157",9803,"Roda JC Kerkrade",133,159,146,343
"158",8611,"FC Twente",131,172,197,509
"159",8525,"Willem II",150,166,153,222
"160",8593,"Ajax",117,199,193,647
"161",8464,"N.E.C.",150,158,146,310
"162",8526,"De Graafschap",78,153,137,130
"163",9908,"FC Utrecht",152,182,159,408
"164",8640,"PSV",153,200,167,652
"165",9791,"Heracles Almelo",147,173,169,403
"166",10235,"Feyenoord",154,165,160,489
"167",8614,"Sparta Rotterdam",75,140,90,76
"168",10217,"ADO Den Haag",162,181,173,366
"169",10228,"SC Heerenveen",150,171,183,470
"170",10229,"AZ",154,185,184,492
"171",9761,"NAC Breda",153,141,143,294
"172",10219,"RKC Waalwijk",142,159,150,153
"173",9839,"VVV-Venlo",100,164,155,152
"174",10218,"Excelsior",163,162,106,154
"175",6413,"PEC Zwolle",137,165,181,204
"176",7788,"SC Cambuur",136,159,138,119
"177",6433,"Go Ahead Eagles",160,132,141,74
"178",6631,"FC Dordrecht",134,176,164,24
"179",10265,"Wisla Kraków",135,183,205,332
"180",8031,"Polonia Bytom",84,150,185,88
"181",8020,"Polonia Bytom",84,150,185,245
"182",1601,"Ruch Chorzów",139,186,175,280
"183",8673,"Legia Warszawa",141,170,195,409
"184",2183,"P. Warszawa",80,180,175,184
"185",8025,"Slask Wroclaw",140,165,180,318
"186",8030,"Lechia Gdansk",162,183,205,279
"187",8244,"Widzew Lódz",190,185,158,50
"188",8242,"Odra Wodzislaw",75,155,205,50
"189",2182,"Lech Poznan",176,196,160,372
"190",8569,"GKS Belchatów",143,175,200,190
"191",8322,"Arka Gdynia",83,150,205,77
"192",1957,"Jagiellonia Bialystok",158,163,210,287
"193",8028,"Piast Gliwice",183,169,195,204
"194",2186,"Cracovia",125,168,205,235
"195",8245,"Korona Kielce",192,169,172,237
"196",8021,"Zaglebie Lubin",133,192,210,207
"197",8024,"Widzew Lódz",190,185,158,122
"198",8033,"Podbeskidzie Bielsko-Biala",193,166,152,169
"199",8023,"Pogon Szczecin",134,185,158,152
"200",8027,"Zawisza Bydgoszcz",145,168,143,75
"201",8019,"Górnik Leczna",140,139,149,61
"202",9773,"FC Porto",173,196,178,541
"203",9807,"CF Os Belenenses",157,160,135,148
"204",9768,"Sporting CP",178,204,174,411
"205",7844,"Vitória Guimarães",131,179,177,300
"206",10238,"Vitória Setúbal",149,165,140,238
"207",6403,"FC Paços de Ferreira",142,170,150,292
"208",10264,"SC Braga",145,166,150,398
"209",10215,"Académica de Coimbra",150,172,151,240
"210",7841,"Rio Ave FC",157,180,153,248
"211",9772,"SL Benfica",178,185,175,568
"212",6421,"Leixões SC",60,165,90,55
"213",10214,"CD Nacional",167,165,156,332
"214",9809,"Naval 1° de Maio",115,165,121,71
"215",10212,"CS Marítimo",182,186,144,316
"216",9771,"União de Leiria, SAD",100,150,154,85
"217",2033,"S.C. Olhanense",147,165,155,138
"218",10211,"SC Beira Mar",94,165,155,93
"219",9764,"Gil Vicente FC",176,152,149,110
"220",8348,"Moreirense FC",139,144,138,101
"221",7842,"Estoril Praia",174,139,150,167
"222",158085,"FC Arouca",174,160,113,101
"223",6547,"FC Penafiel",147,146,121,29
"224",8613,"Boavista FC",153,128,148,51
"225",8596,"Falkirk",140,200,200,68
"226",8548,"Rangers",153,210,200,324
"227",9860,"Heart of Midlothian",168,210,200,317
"228",9927,"Motherwell",172,205,200,403
"229",8597,"Kilmarnock",167,205,200,346
"230",10251,"Hibernian",148,200,200,259
"231",8485,"Aberdeen",184,210,200,365
"232",8066,"Inverness Caledonian Thistle",169,174,139,345
"233",9925,"Celtic",180,205,200,695
"234",9800,"St. Mirren",178,210,200,257
"235",8429,"Hamilton Academical FC",143,200,195,185
"236",9938,"Dundee United",171,205,200,438
"237",8467,"St. Johnstone FC",162,150,142,308
"238",8457,"Dunfermline Athletic",115,168,148,40
"239",8284,"Dundee FC",142,158,154,127
"240",8649,"Ross County FC",153,153,143,192
"241",8426,"Partick Thistle F.C.",143,160,143,135
"242",10267,"Valencia CF",116,185,175,484
"243",8661,"RCD Mallorca",172,163,156,238
"244",8371,"CA Osasuna",143,193,177,232
"245",10205,"Villarreal CF",126,161,165,364
"246",9783,"RC Deportivo de La Coruña",157,187,154,241
"247",8633,"Real Madrid CF",153,200,178,843
"248",8388,"CD Numancia",137,160,158,38
"249",8634,"FC Barcelona",122,175,195,849
"250",8696,"Racing Santander",147,205,168,160
"251",8302,"Sevilla FC",183,206,195,478
"252",9869,"Real Sporting de Gijón",153,185,195,200
"253",8305,"Getafe CF",117,155,164,345
"254",8603,"Real Betis Balompié",145,206,165,225
"255",8479,"RC Recreativo",148,140,151,34
"256",8558,"RCD Espanyol",146,196,180,338
"257",10281,"Real Valladolid",153,172,161,170
"258",8315,"Athletic Club de Bilbao",139,184,170,415
"259",9865,"UD Almería",152,180,193,202
"260",9906,"Atlético Madrid",157,206,160,524
"261",9864,"Málaga CF",129,191,164,377
"262",9868,"Xerez Club Deportivo",104,159,165,38
"263",8394,"Real Zaragoza",154,166,158,159
"264",9867,"CD Tenerife",163,180,174,40
"265",10278,"Hércules Club de Fútbol",154,178,160,36
"266",8581,"Levante UD",171,182,155,241
"267",8560,"Real Sociedad",162,171,171,316
"268",7878,"Granada CF",166,200,170,179
"269",8370,"Rayo Vallecano",141,161,178,247
"270",9910,"RC Celta de Vigo",169,179,169,184
"271",10268,"Elche CF",171,165,158,65
"272",8372,"SD Eibar",165,179,142,83
"273",7869,"Córdoba CF",146,171,129,22
"274",8306,"UD Las Palmas",147,187,171,45
"275",9956,"Grasshopper Club Zürich",164,184,160,429
"276",6493,"AC Bellinzona",101,175,150,128
"277",10192,"BSC Young Boys",172,202,170,529
"278",9931,"FC Basel",170,186,180,619
"279",9930,"FC Aarau",156,181,150,153
"280",10179,"FC Sion",155,177,146,371
"281",10199,"FC Luzern",165,175,153,421
"282",9824,"FC Vaduz",141,137,133,100
"283",7955,"Neuchâtel Xamax",105,190,150,171
"284",10243,"FC Zürich",157,165,163,468
"285",10190,"FC St. Gallen",146,157,155,276
"286",10191,"FC Thun",152,166,145,279
"287",9777,"Servette FC",99,175,170,77
"288",7730,"FC Lausanne-Sports",141,164,165,99
